"Values","Count","Group","Name"
"System.Collections.ArrayList","6","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/layout/MemberSidebar.tsx"
"System.Collections.ArrayList","6","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/Signup.tsx"
"System.Collections.ArrayList","4","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/Login.test.tsx"
"System.Collections.ArrayList","3","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/ResourceCard.tsx"
"System.Collections.ArrayList","2","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Home.tsx"
"System.Collections.ArrayList","2","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/layout/OCSidebar.tsx"
"System.Collections.ArrayList","2","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/OpportunityItem.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/Login.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Projects.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/layout/Footer.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/oc/OCBlogPosts.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/auth/ForgotPassword.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/BlogPost.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/ProjectCard.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/components/shared/TeamMemberCard.tsx"
"System.Collections.ArrayList","1","System.Collections.ObjectModel.Collection`1[System.Management.Automation.PSObject]","src/pages/public/Events.tsx"
